@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
288,'2020/03/23 12:45:17:124',5,0.52246,-0.382116,0.180325,0.044076,0.440225,0.253373,0.230214,1,0,0,0,0,0
289,'2020/03/23 12:45:17:124',5,0.52246,-0.382116,0.180325,0.044076,0.440225,0.253373,0.230214,1,0,0,0,0,0
290,'2020/03/23 12:45:17:136',5,0.568868,-0.386613,0.167791,0.038978,0.483192,0.309954,0.216397,1,0,0,0,0,0
291,'2020/03/23 12:45:17:147',5,0.61095,-0.388515,0.120331,-0.001681,0.446492,0.308082,0.264334,1,0,0,0,0,0
292,'2020/03/23 12:45:17:159',5,0.61142,-0.373,0.120125,0.019034,0.432471,0.26471,0.181739,1,0,0,0,0,0
293,'2020/03/23 12:45:17:171',5,0.573058,-0.386275,0.168041,0.027103,0.481322,0.309538,0.22394,1,0,0,0,0,0
294,'2020/03/23 12:45:17:182',5,0.559369,-0.385957,0.168331,-0.003069,0.465668,0.327296,0.230308,1,0,0,0,0,0
295,'2020/03/23 12:45:17:194',5,0.525023,-0.407047,0.090725,0.019487,0.461857,0.257341,0.164817,1,0,0,0,0,0
296,'2020/03/23 12:45:17:195',5,0.525023,-0.407047,0.090725,0.019487,0.461857,0.257341,0.164817,1,0,0,0,0,0
297,'2020/03/23 12:45:17:206',5,0.594311,-0.371185,0.131132,-0.002776,0.444942,0.291241,0.195012,1,0,0,0,0,0
298,'2020/03/23 12:45:17:217',5,0.563427,-0.394692,0.141857,-0.006688,0.457034,0.266124,0.21266,1,0,0,0,0,0
299,'2020/03/23 12:45:17:229',5,0.541813,-0.399733,0.165414,0.032244,0.439286,0.253967,0.214607,1,0,0,0,0,0
300,'2020/03/23 12:45:17:240',5,0.529553,-0.383433,0.169841,0.05512,0.487464,0.287646,0.214272,1,0,0,0,0,0
301,'2020/03/23 12:45:17:252',5,0.600344,-0.374957,0.156185,0.000654,0.456484,0.328529,0.285325,1,0,0,0,0,0
302,'2020/03/23 12:45:17:264',5,0.631333,-0.371535,0.10496,0.004751,0.434183,0.284334,0.190165,1,0,0,0,0,0
303,'2020/03/23 12:45:17:264',5,0.631333,-0.371535,0.10496,0.004751,0.434183,0.284334,0.190165,1,0,0,0,0,0
304,'2020/03/23 12:45:17:276',5,0.574751,-0.399934,0.14431,0.029759,0.462389,0.281529,0.21914,1,0,0,0,0,0
305,'2020/03/23 12:45:17:287',5,0.589217,-0.356613,0.192853,0.002045,0.455672,0.328962,0.234248,1,0,0,0,0,0
306,'2020/03/23 12:45:17:299',5,0.522181,-0.414762,0.119646,0.025182,0.492773,0.290904,0.185174,1,0,0,0,0,0
307,'2020/03/23 12:45:17:310',5,0.593295,-0.351635,0.103265,0.00613,0.411341,0.251881,0.169596,1,0,0,0,0,0
308,'2020/03/23 12:45:17:321',5,0.566923,-0.394051,0.138959,-0.002925,0.454332,0.273552,0.215592,1,0,0,0,0,0
309,'2020/03/23 12:45:17:333',5,0.553028,-0.409059,0.154883,0.020893,0.455624,0.261973,0.206908,1,0,0,0,0,0
310,'2020/03/23 12:45:17:345',5,0.51331,-0.374553,0.178999,0.055079,0.466927,0.26309,0.225361,1,0,0,0,0,0
311,'2020/03/23 12:45:17:345',5,0.51331,-0.374553,0.178999,0.055079,0.466927,0.26309,0.225361,1,0,0,0,0,0
312,'2020/03/23 12:45:17:356',5,0.600296,-0.370929,0.171936,0.011115,0.467404,0.331029,0.256461,1,0,0,0,0,0
313,'2020/03/23 12:45:17:368',5,0.624115,-0.383486,0.101104,-0.002539,0.438322,0.295846,0.221244,1,0,0,0,0,0
314,'2020/03/23 12:45:17:380',5,0.568768,-0.40104,0.125901,0.024293,0.437705,0.25732,0.199063,1,0,0,0,0,0
315,'2020/03/23 12:45:17:391',5,0.584442,-0.364336,0.187787,0.011823,0.469638,0.320698,0.222367,1,0,0,0,0,0
316,'2020/03/23 12:45:17:403',5,0.536298,-0.408982,0.145526,0.019628,0.498327,0.320455,0.217813,1,0,0,0,0,0
317,'2020/03/23 12:45:17:415',5,0.543732,-0.391988,0.067088,0.005691,0.415363,0.236142,0.161774,1,0,0,0,0,0
318,'2020/03/23 12:45:17:415',5,0.543732,-0.391988,0.067088,0.005691,0.415363,0.236142,0.161774,1,0,0,0,0,0
319,'2020/03/23 12:45:17:426',5,0.564466,-0.393838,0.134404,-0.004537,0.453252,0.285097,0.216142,1,0,0,0,0,0
320,'2020/03/23 12:45:17:438',5,0.545007,-0.414832,0.137714,-0.003156,0.457238,0.261814,0.20751,1,0,0,0,0,0
321,'2020/03/23 12:45:17:449',5,0.520058,-0.37946,0.181605,0.046144,0.442953,0.25375,0.231061,1,0,0,0,0,0
322,'2020/03/23 12:45:17:461',5,0.576279,-0.384552,0.168939,0.035241,0.481232,0.313525,0.219641,1,0,0,0,0,0
323,'2020/03/23 12:45:17:506',5,0.611567,-0.390364,0.115225,-0.002263,0.444444,0.305306,0.258798,1,0,0,0,0,0
324,'2020/03/23 12:45:17:507',5,0.611567,-0.390364,0.115225,-0.002263,0.444444,0.305306,0.258798,1,0,0,0,0,0
325,'2020/03/23 12:45:17:507',5,0.611567,-0.390364,0.115225,-0.002263,0.444444,0.305306,0.258798,1,0,0,0,0,0
