@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
30,'2020/03/24 23:47:45:875',1,0.573655,-0.388149,0.165479,0.027967,0.480071,0.306989,0.224243,0.176059,0.259511,0.328114,0.304388,0.211485,0.309932,1,0,0,0,0,0
31,'2020/03/24 23:47:45:885',1,0.564781,-0.380777,0.172266,-0.003322,0.463431,0.328314,0.231618,0.165775,0.275497,0.359954,0.345627,0.175448,0.280852,1,0,0,0,0,0
32,'2020/03/24 23:47:45:886',1,0.564781,-0.380777,0.172266,-0.003322,0.463431,0.328314,0.231618,0.165775,0.275497,0.359954,0.345627,0.175448,0.280852,1,0,0,0,0,0
33,'2020/03/24 23:47:45:897',1,0.524489,-0.407597,0.095279,0.0218,0.467576,0.261969,0.167212,0.104539,0.189299,0.26488,0.270026,0.124544,0.258755,1,0,0,0,0,0
34,'2020/03/24 23:47:45:910',1,0.599933,-0.367134,0.129478,-0.002763,0.44035,0.287367,0.18922,0.14104,0.181168,0.244495,0.255187,0.143232,0.256602,1,0,0,0,0,0
35,'2020/03/24 23:47:45:921',1,0.564644,-0.393668,0.142199,-0.006096,0.456918,0.267115,0.213368,0.137434,0.205895,0.289842,0.298317,0.164612,0.319581,1,0,0,0,0,0
36,'2020/03/24 23:47:45:936',1,0.543586,-0.401872,0.163092,0.030337,0.440373,0.254151,0.212132,0.131769,0.197215,0.293238,0.292992,0.134832,0.266718,1,0,0,0,0,0
37,'2020/03/24 23:47:45:955',1,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0.181812,0.245369,0.304253,0.328871,0.189735,0.312941,1,0,0,0,0,0
38,'2020/03/24 23:47:45:955',1,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0.181812,0.245369,0.304253,0.328871,0.189735,0.312941,1,0,0,0,0,0
39,'2020/03/24 23:47:45:956',1,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0.181812,0.245369,0.304253,0.328871,0.189735,0.312941,1,0,0,0,0,0
40,'2020/03/24 23:47:45:981',1,0.573572,-0.401264,0.141167,0.029506,0.459159,0.277685,0.217143,0.157982,0.254816,0.325588,0.298477,0.185735,0.280231,1,0,0,0,0,0
41,'2020/03/24 23:47:45:982',1,0.573572,-0.401264,0.141167,0.029506,0.459159,0.277685,0.217143,0.157982,0.254816,0.325588,0.298477,0.185735,0.280231,1,0,0,0,0,0
42,'2020/03/24 23:47:46:001',1,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0.11912,0.213648,0.294634,0.290048,0.125673,0.247175,1,0,0,0,0,0
43,'2020/03/24 23:47:46:002',1,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0.11912,0.213648,0.294634,0.290048,0.125673,0.247175,1,0,0,0,0,0
44,'2020/03/24 23:47:46:017',1,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0.10918,0.179981,0.24563,0.256593,0.150005,0.264944,1,0,0,0,0,0
45,'2020/03/24 23:47:46:017',1,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0.10918,0.179981,0.24563,0.256593,0.150005,0.264944,1,0,0,0,0,0
46,'2020/03/24 23:47:46:027',1,0.565772,-0.395141,0.137651,-0.003122,0.454039,0.275022,0.216505,0.151269,0.216771,0.297091,0.291474,0.161655,0.311471,1,0,0,0,0,0
47,'2020/03/24 23:47:46:038',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0.113544,0.188207,0.285026,0.307969,0.147552,0.271915,1,0,0,0,0,0
48,'2020/03/24 23:47:46:051',1,0.5132,-0.374092,0.180144,0.054542,0.463982,0.261515,0.226939,0.178283,0.222834,0.323525,0.287845,0.135081,0.32051,1,0,0,0,0,0
49,'2020/03/24 23:47:46:066',1,0.599597,-0.371513,0.172614,0.013598,0.469443,0.329973,0.250799,0.157145,0.239628,0.324246,0.329043,0.201999,0.340197,1,0,0,0,0,0
50,'2020/03/24 23:47:46:066',1,0.599597,-0.371513,0.172614,0.013598,0.469443,0.329973,0.250799,0.157145,0.239628,0.324246,0.329043,0.201999,0.340197,1,0,0,0,0,0
51,'2020/03/24 23:47:46:085',1,0.622138,-0.385776,0.101402,-0.003045,0.438238,0.296327,0.225873,0.181983,0.279131,0.326786,0.3197,0.165182,0.295083,1,0,0,0,0,0
52,'2020/03/24 23:47:46:097',1,0.583064,-0.365895,0.18631,0.013515,0.472414,0.320067,0.221968,0.193272,0.275487,0.333921,0.320258,0.210845,0.320085,1,0,0,0,0,0
53,'2020/03/24 23:47:46:097',1,0.583064,-0.365895,0.18631,0.013515,0.472414,0.320067,0.221968,0.193272,0.275487,0.333921,0.320258,0.210845,0.320085,1,0,0,0,0,0
54,'2020/03/24 23:47:46:109',1,0.53576,-0.409652,0.146062,0.015788,0.494782,0.321183,0.219495,0.146502,0.251459,0.339677,0.325274,0.148794,0.259043,1,0,0,0,0,0
55,'2020/03/24 23:47:46:130',1,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,1,0,0,0,0,0
56,'2020/03/24 23:47:46:131',1,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,1,0,0,0,0,0
57,'2020/03/24 23:47:46:143',1,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,1,0,0,0,0,0
58,'2020/03/24 23:47:46:150',1,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,1,0,0,0,0,0
59,'2020/03/24 23:47:46:176',1,0.611072,-0.389001,0.119115,-0.001773,0.44605,0.30743,0.263082,0.185604,0.260088,0.30184,0.315564,0.160595,0.281343,1,0,0,0,0,0
60,'2020/03/24 23:47:46:177',1,0.611072,-0.389001,0.119115,-0.001773,0.44605,0.30743,0.263082,0.185604,0.260088,0.30184,0.315564,0.160595,0.281343,1,0,0,0,0,0
61,'2020/03/24 23:47:46:178',1,0.611072,-0.389001,0.119115,-0.001773,0.44605,0.30743,0.263082,0.185604,0.260088,0.30184,0.315564,0.160595,0.281343,1,0,0,0,0,0
62,'2020/03/24 23:47:46:192',1,0.610146,-0.373412,0.120673,0.019529,0.43251,0.264002,0.181823,0.1538,0.275457,0.351694,0.332389,0.16448,0.279592,1,0,0,0,0,0
63,'2020/03/24 23:47:46:199',1,0.572866,-0.385763,0.168716,0.026744,0.481579,0.310256,0.22389,0.178583,0.261431,0.329135,0.307067,0.214369,0.314128,1,0,0,0,0,0
64,'2020/03/24 23:47:46:212',1,0.557612,-0.387669,0.167022,-0.00302,0.466299,0.32692,0.229901,0.162721,0.274332,0.361609,0.347053,0.174016,0.278971,1,0,0,0,0,0
65,'2020/03/24 23:47:46:222',1,0.525025,-0.407053,0.089179,0.018577,0.459938,0.255788,0.163875,0.102338,0.185491,0.259533,0.264929,0.122935,0.25845,1,0,0,0,0,0
66,'2020/03/24 23:47:46:234',1,0.591933,-0.372855,0.131057,-0.003296,0.445583,0.291475,0.195889,0.146419,0.189105,0.250293,0.25849,0.143742,0.260736,1,0,0,0,0,0
67,'2020/03/24 23:47:46:245',1,0.562871,-0.395215,0.141615,-0.006917,0.457,0.265806,0.212447,0.134881,0.204774,0.289495,0.300456,0.165385,0.320049,1,0,0,0,0,0
68,'2020/03/24 23:47:46:246',1,0.562871,-0.395215,0.141615,-0.006917,0.457,0.265806,0.212447,0.134881,0.204774,0.289495,0.300456,0.165385,0.320049,1,0,0,0,0,0
69,'2020/03/24 23:47:46:258',1,0.541105,-0.3992,0.165975,0.032638,0.438833,0.253748,0.215161,0.137494,0.199348,0.29601,0.291893,0.13434,0.270001,1,0,0,0,0,0
70,'2020/03/24 23:47:46:268',1,0.530626,-0.383951,0.169449,0.054736,0.48774,0.288674,0.214055,0.160868,0.231498,0.33492,0.300893,0.161457,0.346846,1,0,0,0,0,0
71,'2020/03/24 23:47:46:280',1,0.601232,-0.374865,0.15533,0.000554,0.456068,0.327724,0.285053,0.18257,0.245106,0.300807,0.326618,0.184868,0.306876,1,0,0,0,0,0
72,'2020/03/24 23:47:46:292',1,0.631037,-0.371453,0.105285,0.005133,0.433924,0.28362,0.189442,0.168782,0.280257,0.345194,0.330278,0.168643,0.304653,1,0,0,0,0,0
73,'2020/03/24 23:47:46:303',1,0.575046,-0.399489,0.145277,0.029846,0.463445,0.282873,0.219899,0.161553,0.25551,0.326265,0.298639,0.190502,0.284719,1,0,0,0,0,0
74,'2020/03/24 23:47:46:327',1,0.521672,-0.414869,0.118472,0.025059,0.491899,0.289498,0.183926,0.114097,0.207079,0.287334,0.285136,0.123704,0.247525,1,0,0,0,0,0
75,'2020/03/24 23:47:46:327',1,0.521672,-0.414869,0.118472,0.025059,0.491899,0.289498,0.183926,0.114097,0.207079,0.287334,0.285136,0.123704,0.247525,1,0,0,0,0,0
76,'2020/03/24 23:47:46:328',1,0.521672,-0.414869,0.118472,0.025059,0.491899,0.289498,0.183926,0.114097,0.207079,0.287334,0.285136,0.123704,0.247525,1,0,0,0,0,0
77,'2020/03/24 23:47:46:339',1,0.594362,-0.351414,0.104322,0.00485,0.410985,0.251806,0.168522,0.112127,0.17675,0.243878,0.254833,0.148301,0.259964,1,0,0,0,0,0
78,'2020/03/24 23:47:46:351',1,0.567013,-0.393935,0.139164,-0.003048,0.454289,0.273015,0.215235,0.148143,0.213481,0.295002,0.291631,0.161649,0.313165,1,0,0,0,0,0
79,'2020/03/24 23:47:46:373',1,0.51347,-0.374707,0.178611,0.055162,0.467718,0.263517,0.224805,0.177533,0.225516,0.325865,0.288305,0.136173,0.323576,1,0,0,0,0,0
80,'2020/03/24 23:47:46:375',1,0.51347,-0.374707,0.178611,0.055162,0.467718,0.263517,0.224805,0.177533,0.225516,0.325865,0.288305,0.136173,0.323576,1,0,0,0,0,0
81,'2020/03/24 23:47:46:384',1,0.600612,-0.370647,0.171855,0.01059,0.466982,0.331473,0.258334,0.162322,0.241615,0.321229,0.329507,0.2016,0.336771,1,0,0,0,0,0
82,'2020/03/24 23:47:46:396',1,0.624671,-0.382821,0.101029,-0.002372,0.438367,0.295736,0.219933,0.180957,0.281446,0.330878,0.321209,0.167095,0.299129,1,0,0,0,0,0
83,'2020/03/24 23:47:46:397',1,0.624671,-0.382821,0.101029,-0.002372,0.438367,0.295736,0.219933,0.180957,0.281446,0.330878,0.321209,0.167095,0.299129,1,0,0,0,0,0
84,'2020/03/24 23:47:46:408',1,0.567875,-0.402031,0.125741,0.02406,0.438069,0.257683,0.199982,0.149205,0.265052,0.337763,0.315027,0.172844,0.272387,1,0,0,0,0,0
85,'2020/03/24 23:47:46:420',1,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,1,0,0,0,0,0
86,'2020/03/24 23:47:46:431',1,0.53627,-0.408917,0.145207,0.020613,0.499167,0.320055,0.217101,0.143281,0.245991,0.332711,0.318657,0.143042,0.254506,1,0,0,0,0,0
87,'2020/03/24 23:47:46:443',1,0.544579,-0.391423,0.066673,0.004854,0.413521,0.235358,0.161379,0.103355,0.185326,0.250049,0.260141,0.146049,0.277439,1,0,0,0,0,0
88,'2020/03/24 23:47:46:454',1,0.565414,-0.393086,0.135473,-0.003486,0.454233,0.285826,0.217543,0.158946,0.223409,0.293709,0.283142,0.155334,0.295233,1,0,0,0,0,0
89,'2020/03/24 23:47:46:466',1,0.545528,-0.414417,0.138701,-0.001846,0.457845,0.262225,0.207625,0.117731,0.194289,0.289229,0.316324,0.163539,0.303133,1,0,0,0,0,0
90,'2020/03/24 23:47:46:477',1,0.519734,-0.378735,0.181976,0.04678,0.443873,0.254169,0.231564,0.172106,0.210883,0.313398,0.289554,0.135734,0.301891,1,0,0,0,0,0
91,'2020/03/24 23:47:46:478',1,0.519734,-0.378735,0.181976,0.04678,0.443873,0.254169,0.231564,0.172106,0.210883,0.313398,0.289554,0.135734,0.301891,1,0,0,0,0,0
92,'2020/03/24 23:47:46:489',1,0.577914,-0.384001,0.16923,0.034334,0.480745,0.314286,0.220413,0.144416,0.230355,0.334786,0.325041,0.197979,0.354604,1,0,0,0,0,0
93,'2020/03/24 23:47:46:501',1,0.611815,-0.390642,0.114185,-0.002403,0.443968,0.304717,0.257525,0.185559,0.263417,0.304926,0.315329,0.159778,0.281222,1,0,0,0,0,0
94,'2020/03/24 23:47:46:512',1,0.604333,-0.375672,0.122679,0.021232,0.432679,0.261345,0.182811,0.152128,0.274956,0.351477,0.331233,0.164366,0.276318,1,0,0,0,0,0
95,'2020/03/24 23:47:46:524',1,0.573693,-0.382248,0.172646,0.025904,0.482765,0.313117,0.223357,0.180877,0.262909,0.328836,0.308247,0.21539,0.317338,1,0,0,0,0,0
96,'2020/03/24 23:47:46:536',1,0.551494,-0.393829,0.162305,-0.001626,0.469956,0.325665,0.228373,0.160193,0.272485,0.361473,0.346817,0.171896,0.276823,1,0,0,0,0,0
97,'2020/03/24 23:47:46:536',1,0.551494,-0.393829,0.162305,-0.001626,0.469956,0.325665,0.228373,0.160193,0.272485,0.361473,0.346817,0.171896,0.276823,1,0,0,0,0,0
98,'2020/03/24 23:47:46:547',1,0.526127,-0.406038,0.083694,0.015743,0.452587,0.250391,0.161262,0.100966,0.182804,0.255461,0.261214,0.122756,0.258977,1,0,0,0,0,0
99,'2020/03/24 23:47:46:559',1,0.583503,-0.377651,0.132425,-0.003693,0.449266,0.293236,0.201478,0.149716,0.195926,0.255998,0.260492,0.14336,0.264575,1,0,0,0,0,0
100,'2020/03/24 23:47:46:570',1,0.559367,-0.398672,0.139662,-0.008413,0.456329,0.264096,0.211228,0.13218,0.203535,0.289375,0.303105,0.166351,0.320267,1,0,0,0,0,0
101,'2020/03/24 23:47:46:582',1,0.539155,-0.395532,0.169635,0.03548,0.438346,0.254326,0.219312,0.144457,0.202436,0.30011,0.292493,0.135297,0.274696,1,0,0,0,0,0
102,'2020/03/24 23:47:46:593',1,0.535635,-0.386062,0.167905,0.0528,0.488394,0.292859,0.213209,0.157206,0.23068,0.335598,0.304858,0.167955,0.350672,1,0,0,0,0,0
103,'2020/03/24 23:47:46:605',1,0.604713,-0.37558,0.15041,-0.00039,0.453769,0.323554,0.282887,0.18252,0.245563,0.298548,0.324571,0.179927,0.300678,1,0,0,0,0,0
104,'2020/03/24 23:47:46:606',1,0.604713,-0.37558,0.15041,-0.00039,0.453769,0.323554,0.282887,0.18252,0.245563,0.298548,0.324571,0.179927,0.300678,1,0,0,0,0,0
105,'2020/03/24 23:47:46:617',1,0.630167,-0.370277,0.107843,0.007601,0.433436,0.280774,0.186782,0.166397,0.279006,0.346481,0.330996,0.167123,0.300937,1,0,0,0,0,0
106,'2020/03/24 23:47:46:629',1,0.575553,-0.397898,0.148932,0.029452,0.467134,0.287864,0.221876,0.164935,0.256214,0.326715,0.298938,0.195107,0.28954,1,0,0,0,0,0
107,'2020/03/24 23:47:46:640',1,0.588194,-0.357904,0.191092,0.001098,0.456853,0.330571,0.235537,0.182832,0.280703,0.35071,0.337083,0.182785,0.290657,1,0,0,0,0,0
108,'2020/03/24 23:47:46:651',1,0.520242,-0.414751,0.113703,0.024703,0.487967,0.283577,0.179077,0.110501,0.201987,0.281692,0.281715,0.123207,0.249319,1,0,0,0,0,0
109,'2020/03/24 23:47:46:663',1,0.600533,-0.349404,0.111684,0.003052,0.415066,0.257283,0.169112,0.115703,0.172928,0.24117,0.252917,0.146591,0.254782,1,0,0,0,0,0
110,'2020/03/24 23:47:46:676',1,0.567578,-0.392961,0.140658,-0.00288,0.455205,0.272108,0.215259,0.146458,0.211786,0.294104,0.292945,0.162458,0.31513,1,0,0,0,0,0
111,'2020/03/24 23:47:46:686',1,0.552781,-0.407606,0.15748,0.024513,0.453535,0.261084,0.207453,0.11729,0.19091,0.287091,0.303724,0.143626,0.267276,1,0,0,0,0,0
112,'2020/03/24 23:47:46:687',1,0.552781,-0.407606,0.15748,0.024513,0.453535,0.261084,0.207453,0.11729,0.19091,0.287091,0.303724,0.143626,0.267276,1,0,0,0,0,0
113,'2020/03/24 23:47:46:698',1,0.514537,-0.375415,0.177325,0.056023,0.471795,0.266314,0.222644,0.17602,0.227551,0.327463,0.288393,0.137466,0.326663,1,0,0,0,0,0
114,'2020/03/24 23:47:46:710',1,0.600462,-0.370381,0.170778,0.008074,0.464782,0.332602,0.265513,0.166986,0.242586,0.317594,0.329704,0.200531,0.332879,1,0,0,0,0,0
115,'2020/03/24 23:47:46:721',1,0.626868,-0.380068,0.100712,-0.00182,0.438414,0.29511,0.214443,0.180102,0.283455,0.33455,0.322493,0.168204,0.301967,1,0,0,0,0,0
116,'2020/03/24 23:47:46:733',1,0.566971,-0.403646,0.127438,0.024979,0.441263,0.260086,0.203238,0.14931,0.261795,0.333931,0.310842,0.174427,0.272565,1,0,0,0,0,0
117,'2020/03/24 23:47:46:745',1,0.587367,-0.361381,0.190356,0.009504,0.465142,0.321918,0.223721,0.194766,0.278332,0.336835,0.325267,0.204843,0.315821,1,0,0,0,0,0
118,'2020/03/24 23:47:46:756',1,0.535236,-0.409257,0.142986,0.024154,0.502152,0.318062,0.214035,0.139997,0.240811,0.326072,0.312884,0.138829,0.25209,1,0,0,0,0,0
119,'2020/03/24 23:47:46:757',1,0.535236,-0.409257,0.142986,0.024154,0.502152,0.318062,0.214035,0.139997,0.240811,0.326072,0.312884,0.138829,0.25209,1,0,0,0,0,0
120,'2020/03/24 23:47:46:768',1,0.54503,-0.391473,0.064003,0.000799,0.406699,0.234335,0.162756,0.104991,0.18837,0.253317,0.265079,0.155194,0.284424,1,0,0,0,0,0
121,'2020/03/24 23:47:46:779',1,0.563301,-0.395858,0.134241,-0.004523,0.453095,0.283524,0.218162,0.159225,0.224752,0.297274,0.286475,0.157835,0.299508,1,0,0,0,0,0
122,'2020/03/24 23:47:46:792',1,0.547088,-0.413145,0.142635,0.003616,0.459978,0.263683,0.207784,0.115899,0.191882,0.287653,0.315156,0.159813,0.295623,1,0,0,0,0,0
123,'2020/03/24 23:47:46:802',1,0.517626,-0.376658,0.182581,0.048721,0.447233,0.254914,0.231773,0.174613,0.212672,0.315067,0.288833,0.135272,0.305951,1,0,0,0,0,0
124,'2020/03/24 23:47:46:814',1,0.584506,-0.381329,0.170606,0.030538,0.479082,0.31813,0.224836,0.145028,0.231724,0.333468,0.326504,0.199922,0.352211,1,0,0,0,0,0
125,'2020/03/24 23:47:46:826',1,0.612972,-0.391607,0.109827,-0.003333,0.441641,0.301852,0.251306,0.185003,0.266398,0.308131,0.315091,0.159471,0.282059,1,0,0,0,0,0
126,'2020/03/24 23:47:46:826',1,0.612972,-0.391607,0.109827,-0.003333,0.441641,0.301852,0.251306,0.185003,0.266398,0.308131,0.315091,0.159471,0.282059,1,0,0,0,0,0
127,'2020/03/24 23:47:46:837',1,0.597641,-0.379071,0.123901,0.022328,0.433045,0.259639,0.185126,0.151735,0.27543,0.351987,0.331017,0.165952,0.275175,1,0,0,0,0,0
128,'2020/03/24 23:47:46:851',1,0.574923,-0.378878,0.175884,0.024067,0.482472,0.315243,0.223256,0.184266,0.266062,0.329886,0.310331,0.215946,0.319563,1,0,0,0,0,0
129,'2020/03/24 23:47:46:861',1,0.544482,-0.401145,0.156046,-0.001175,0.472762,0.323435,0.226248,0.157713,0.270284,0.360778,0.346505,0.170598,0.275957,1,0,0,0,0,0
130,'2020/03/24 23:47:46:872',1,0.528321,-0.403865,0.079512,0.013837,0.446167,0.246556,0.160013,0.100815,0.18176,0.25316,0.259384,0.124555,0.261016,1,0,0,0,0,0
131,'2020/03/24 23:47:46:884',1,0.573528,-0.384772,0.130436,-0.006287,0.450214,0.292444,0.205612,0.15245,0.202776,0.262432,0.262217,0.142565,0.268257,1,0,0,0,0,0
132,'2020/03/24 23:47:46:895',1,0.555261,-0.402899,0.13735,-0.009883,0.455362,0.26235,0.20996,0.12944,0.20223,0.289549,0.306229,0.167521,0.320295,1,0,0,0,0,0
133,'2020/03/24 23:47:46:896',1,0.555261,-0.402899,0.13735,-0.009883,0.455362,0.26235,0.20996,0.12944,0.20223,0.289549,0.306229,0.167521,0.320295,1,0,0,0,0,0
134,'2020/03/24 23:47:46:909',1,0.536591,-0.392223,0.172602,0.037394,0.437361,0.25384,0.222074,0.149913,0.203938,0.302892,0.292516,0.136169,0.279629,1,0,0,0,0,0
135,'2020/03/24 23:47:46:919',1,0.541747,-0.387294,0.166949,0.050364,0.487988,0.296297,0.21227,0.153331,0.229589,0.336161,0.308998,0.174375,0.354011,1,0,0,0,0,0
