@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
30,'2020/03/22 20:51:26:792',1,0.53429,-0.398448,0.075243,0.012862,0.437095,0.243317,0.160872,0.10251,0.182164,0.250722,0.258066,0.129883,0.266091,1,0,0,0,0,0
31,'2020/03/22 20:51:26:793',1,0.53429,-0.398448,0.075243,0.012862,0.437095,0.243317,0.160872,0.10251,0.182164,0.250722,0.258066,0.129883,0.266091,1,0,0,0,0,0
32,'2020/03/22 20:51:26:793',1,0.53429,-0.398448,0.075243,0.012862,0.437095,0.243317,0.160872,0.10251,0.182164,0.250722,0.258066,0.129883,0.266091,1,0,0,0,0,0
33,'2020/03/22 20:51:26:794',1,0.53429,-0.398448,0.075243,0.012862,0.437095,0.243317,0.160872,0.10251,0.182164,0.250722,0.258066,0.129883,0.266091,1,0,0,0,0,0
34,'2020/03/22 20:51:26:803',1,0.562324,-0.394009,0.128064,-0.008897,0.449705,0.286839,0.206578,0.149958,0.20633,0.268877,0.263753,0.140412,0.27298,1,0,0,0,0,0
35,'2020/03/22 20:51:26:803',1,0.562324,-0.394009,0.128064,-0.008897,0.449705,0.286839,0.206578,0.149958,0.20633,0.268877,0.263753,0.140412,0.27298,1,0,0,0,0,0
36,'2020/03/22 20:51:26:804',1,0.562324,-0.394009,0.128064,-0.008897,0.449705,0.286839,0.206578,0.149958,0.20633,0.268877,0.263753,0.140412,0.27298,1,0,0,0,0,0
37,'2020/03/22 20:51:26:812',1,0.547636,-0.410847,0.133502,-0.011747,0.453657,0.260016,0.208163,0.124932,0.200127,0.290546,0.312191,0.169437,0.319456,1,0,0,0,0,0
38,'2020/03/22 20:51:26:813',1,0.547636,-0.410847,0.133502,-0.011747,0.453657,0.260016,0.208163,0.124932,0.200127,0.290546,0.312191,0.169437,0.319456,1,0,0,0,0,0
39,'2020/03/22 20:51:26:813',1,0.547636,-0.410847,0.133502,-0.011747,0.453657,0.260016,0.208163,0.124932,0.200127,0.290546,0.312191,0.169437,0.319456,1,0,0,0,0,0
40,'2020/03/22 20:51:26:825',1,0.530342,-0.387583,0.176515,0.039968,0.436912,0.253391,0.226935,0.159274,0.206239,0.306883,0.291717,0.136638,0.287192,1,0,0,0,0,0
41,'2020/03/22 20:51:26:825',1,0.530342,-0.387583,0.176515,0.039968,0.436912,0.253391,0.226935,0.159274,0.206239,0.306883,0.291717,0.136638,0.287192,1,0,0,0,0,0
42,'2020/03/22 20:51:26:826',1,0.530342,-0.387583,0.176515,0.039968,0.436912,0.253391,0.226935,0.159274,0.206239,0.306883,0.291717,0.136638,0.287192,1,0,0,0,0,0
43,'2020/03/22 20:51:26:832',1,0.530342,-0.387583,0.176515,0.039968,0.436912,0.253391,0.226935,0.159274,0.206239,0.306883,0.291717,0.136638,0.287192,1,0,0,0,0,0
44,'2020/03/22 20:51:26:833',1,0.530342,-0.387583,0.176515,0.039968,0.436912,0.253391,0.226935,0.159274,0.206239,0.306883,0.291717,0.136638,0.287192,1,0,0,0,0,0
45,'2020/03/22 20:51:26:835',1,0.553016,-0.388422,0.166336,0.045759,0.486334,0.302081,0.212088,0.147696,0.228281,0.336815,0.316293,0.185113,0.357539,1,0,0,0,0,0
46,'2020/03/22 20:51:26:837',1,0.553016,-0.388422,0.166336,0.045759,0.486334,0.302081,0.212088,0.147696,0.228281,0.336815,0.316293,0.185113,0.357539,1,0,0,0,0,0
47,'2020/03/22 20:51:26:838',1,0.553016,-0.388422,0.166336,0.045759,0.486334,0.302081,0.212088,0.147696,0.228281,0.336815,0.316293,0.185113,0.357539,1,0,0,0,0,0
48,'2020/03/22 20:51:26:846',1,0.609984,-0.381947,0.134096,-0.000939,0.450214,0.314574,0.274863,0.184861,0.252676,0.297965,0.319145,0.167719,0.287984,1,0,0,0,0,0
49,'2020/03/22 20:51:26:858',1,0.621427,-0.370531,0.114651,0.013723,0.432111,0.271455,0.181755,0.159288,0.27702,0.350495,0.333154,0.16523,0.289582,1,0,0,0,0,0
50,'2020/03/22 20:51:26:858',1,0.621427,-0.370531,0.114651,0.013723,0.432111,0.271455,0.181755,0.159288,0.27702,0.350495,0.333154,0.16523,0.289582,1,0,0,0,0,0
51,'2020/03/22 20:51:26:859',1,0.621427,-0.370531,0.114651,0.013723,0.432111,0.271455,0.181755,0.159288,0.27702,0.350495,0.333154,0.16523,0.289582,1,0,0,0,0,0
52,'2020/03/22 20:51:26:859',1,0.621427,-0.370531,0.114651,0.013723,0.432111,0.271455,0.181755,0.159288,0.27702,0.350495,0.333154,0.16523,0.289582,1,0,0,0,0,0
53,'2020/03/22 20:51:26:859',1,0.621427,-0.370531,0.114651,0.013723,0.432111,0.271455,0.181755,0.159288,0.27702,0.350495,0.333154,0.16523,0.289582,1,0,0,0,0,0
54,'2020/03/22 20:51:26:869',1,0.575641,-0.391118,0.160471,0.029149,0.476771,0.301558,0.224772,0.17308,0.258166,0.327328,0.300976,0.205544,0.301783,1,0,0,0,0,0
55,'2020/03/22 20:51:26:870',1,0.575641,-0.391118,0.160471,0.029149,0.476771,0.301558,0.224772,0.17308,0.258166,0.327328,0.300976,0.205544,0.301783,1,0,0,0,0,0
56,'2020/03/22 20:51:26:870',1,0.575641,-0.391118,0.160471,0.029149,0.476771,0.301558,0.224772,0.17308,0.258166,0.327328,0.300976,0.205544,0.301783,1,0,0,0,0,0
57,'2020/03/22 20:51:26:881',1,0.575639,-0.37035,0.180423,-0.002267,0.460151,0.329813,0.233737,0.170885,0.276653,0.356012,0.341936,0.176853,0.283295,1,0,0,0,0,0
58,'2020/03/22 20:51:26:882',1,0.575639,-0.37035,0.180423,-0.002267,0.460151,0.329813,0.233737,0.170885,0.276653,0.356012,0.341936,0.176853,0.283295,1,0,0,0,0,0
59,'2020/03/22 20:51:26:882',1,0.575639,-0.37035,0.180423,-0.002267,0.460151,0.329813,0.233737,0.170885,0.276653,0.356012,0.341936,0.176853,0.283295,1,0,0,0,0,0
60,'2020/03/22 20:51:26:895',1,0.521729,-0.41082,0.101466,0.023143,0.475113,0.268376,0.169375,0.104597,0.19164,0.269062,0.27325,0.123031,0.254869,1,0,0,0,0,0
61,'2020/03/22 20:51:26:896',1,0.521729,-0.41082,0.101466,0.023143,0.475113,0.268376,0.169375,0.104597,0.19164,0.269062,0.27325,0.123031,0.254869,1,0,0,0,0,0
62,'2020/03/22 20:51:26:896',1,0.521729,-0.41082,0.101466,0.023143,0.475113,0.268376,0.169375,0.104597,0.19164,0.269062,0.27325,0.123031,0.254869,1,0,0,0,0,0
63,'2020/03/22 20:51:26:896',1,0.521729,-0.41082,0.101466,0.023143,0.475113,0.268376,0.169375,0.104597,0.19164,0.269062,0.27325,0.123031,0.254869,1,0,0,0,0,0
64,'2020/03/22 20:51:26:901',1,0.521729,-0.41082,0.101466,0.023143,0.475113,0.268376,0.169375,0.104597,0.19164,0.269062,0.27325,0.123031,0.254869,1,0,0,0,0,0
65,'2020/03/22 20:51:26:902',1,0.521729,-0.41082,0.101466,0.023143,0.475113,0.268376,0.169375,0.104597,0.19164,0.269062,0.27325,0.123031,0.254869,1,0,0,0,0,0
66,'2020/03/22 20:51:26:916',1,0.566652,-0.39247,0.142473,-0.004662,0.456595,0.268903,0.214348,0.140789,0.207436,0.290847,0.296084,0.16385,0.318446,1,0,0,0,0,0
67,'2020/03/22 20:51:26:917',1,0.566652,-0.39247,0.142473,-0.004662,0.456595,0.268903,0.214348,0.140789,0.207436,0.290847,0.296084,0.16385,0.318446,1,0,0,0,0,0
68,'2020/03/22 20:51:26:917',1,0.566652,-0.39247,0.142473,-0.004662,0.456595,0.268903,0.214348,0.140789,0.207436,0.290847,0.296084,0.16385,0.318446,1,0,0,0,0,0
69,'2020/03/22 20:51:26:917',1,0.566652,-0.39247,0.142473,-0.004662,0.456595,0.268903,0.214348,0.140789,0.207436,0.290847,0.296084,0.16385,0.318446,1,0,0,0,0,0
70,'2020/03/22 20:51:26:931',1,0.547841,-0.404249,0.160614,0.028273,0.444501,0.256292,0.209723,0.125657,0.195161,0.29078,0.296654,0.137776,0.265397,1,0,0,0,0,0
71,'2020/03/22 20:51:26:932',1,0.547841,-0.404249,0.160614,0.028273,0.444501,0.256292,0.209723,0.125657,0.195161,0.29078,0.296654,0.137776,0.265397,1,0,0,0,0,0
72,'2020/03/22 20:51:26:932',1,0.547841,-0.404249,0.160614,0.028273,0.444501,0.256292,0.209723,0.125657,0.195161,0.29078,0.296654,0.137776,0.265397,1,0,0,0,0,0
73,'2020/03/22 20:51:26:932',1,0.547841,-0.404249,0.160614,0.028273,0.444501,0.256292,0.209723,0.125657,0.195161,0.29078,0.296654,0.137776,0.265397,1,0,0,0,0,0
74,'2020/03/22 20:51:26:933',1,0.547841,-0.404249,0.160614,0.028273,0.444501,0.256292,0.209723,0.125657,0.195161,0.29078,0.296654,0.137776,0.265397,1,0,0,0,0,0
75,'2020/03/22 20:51:26:942',1,0.520904,-0.378704,0.173696,0.057148,0.4821,0.276996,0.216901,0.16923,0.231964,0.332629,0.29308,0.147156,0.336455,1,0,0,0,0,0
76,'2020/03/22 20:51:26:943',1,0.520904,-0.378704,0.173696,0.057148,0.4821,0.276996,0.216901,0.16923,0.231964,0.332629,0.29308,0.147156,0.336455,1,0,0,0,0,0
77,'2020/03/22 20:51:26:943',1,0.520904,-0.378704,0.173696,0.057148,0.4821,0.276996,0.216901,0.16923,0.231964,0.332629,0.29308,0.147156,0.336455,1,0,0,0,0,0
78,'2020/03/22 20:51:26:943',1,0.520904,-0.378704,0.173696,0.057148,0.4821,0.276996,0.216901,0.16923,0.231964,0.332629,0.29308,0.147156,0.336455,1,0,0,0,0,0
79,'2020/03/22 20:51:26:952',1,0.597479,-0.37323,0.164728,0.003542,0.460904,0.333604,0.281804,0.178535,0.245248,0.309384,0.330689,0.195037,0.32023,1,0,0,0,0,0
80,'2020/03/22 20:51:26:953',1,0.597479,-0.37323,0.164728,0.003542,0.460904,0.333604,0.281804,0.178535,0.245248,0.309384,0.330689,0.195037,0.32023,1,0,0,0,0,0
81,'2020/03/22 20:51:26:953',1,0.597479,-0.37323,0.164728,0.003542,0.460904,0.333604,0.281804,0.178535,0.245248,0.309384,0.330689,0.195037,0.32023,1,0,0,0,0,0
82,'2020/03/22 20:51:26:962',1,0.631141,-0.374049,0.101818,0.000832,0.43654,0.29018,0.199227,0.174488,0.282963,0.340521,0.325764,0.16905,0.306364,1,0,0,0,0,0
83,'2020/03/22 20:51:26:963',1,0.631141,-0.374049,0.101818,0.000832,0.43654,0.29018,0.199227,0.174488,0.282963,0.340521,0.325764,0.16905,0.306364,1,0,0,0,0,0
84,'2020/03/22 20:51:26:963',1,0.631141,-0.374049,0.101818,0.000832,0.43654,0.29018,0.199227,0.174488,0.282963,0.340521,0.325764,0.16905,0.306364,1,0,0,0,0,0
85,'2020/03/22 20:51:26:975',1,0.570744,-0.403276,0.13533,0.02802,0.452165,0.269957,0.21184,0.152669,0.254564,0.325752,0.300415,0.180521,0.276041,1,0,0,0,0,0
86,'2020/03/22 20:51:26:976',1,0.570744,-0.403276,0.13533,0.02802,0.452165,0.269957,0.21184,0.152669,0.254564,0.325752,0.300415,0.180521,0.276041,1,0,0,0,0,0
