@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1034,'2020/03/23 13:24:32:501',2,0.514091,-0.37429,0.181917,0.052035,0.455661,0.257718,0.230275,0.178211,0.217987,0.319479,0.288015,0.134579,0.3141,0,0,0,0,0,0,0,1,0,0,0,0,0
1035,'2020/03/23 13:24:32:501',2,0.514091,-0.37429,0.181917,0.052035,0.455661,0.257718,0.230275,0.178211,0.217987,0.319479,0.288015,0.134579,0.3141,0,0,0,0,0,0,0,1,0,0,0,0,0
1036,'2020/03/23 13:24:32:513',2,0.594887,-0.375605,0.172217,0.020832,0.474412,0.325865,0.237657,0.149612,0.235836,0.329661,0.328409,0.201775,0.34597,0,0,0,0,0,0,0,1,0,0,0,0,0
1037,'2020/03/23 13:24:32:514',2,0.594887,-0.375605,0.172217,0.020832,0.474412,0.325865,0.237657,0.149612,0.235836,0.329661,0.328409,0.201775,0.34597,0,0,0,0,0,0,0,1,0,0,0,0,0
1038,'2020/03/23 13:24:32:523',2,0.617471,-0.390096,0.103701,-0.004014,0.438541,0.297614,0.237267,0.182944,0.272838,0.317329,0.31671,0.161813,0.288067,0,0,0,0,0,0,0,1,0,0,0,0,0
1039,'2020/03/23 13:24:32:524',2,0.617471,-0.390096,0.103701,-0.004014,0.438541,0.297614,0.237267,0.182944,0.272838,0.317329,0.31671,0.161813,0.288067,0,0,0,0,0,0,0,1,0,0,0,0,0
1040,'2020/03/23 13:24:32:535',2,0.580943,-0.390439,0.124145,0.0231,0.433477,0.256478,0.190699,0.149996,0.272361,0.347188,0.325065,0.167185,0.271189,0,0,0,0,0,0,0,1,0,0,0,0,0
1041,'2020/03/23 13:24:32:535',2,0.580943,-0.390439,0.124145,0.0231,0.433477,0.256478,0.190699,0.149996,0.272361,0.347188,0.325065,0.167185,0.271189,0,0,0,0,0,0,0,1,0,0,0,0,0
1042,'2020/03/23 13:24:32:535',2,0.580943,-0.390439,0.124145,0.0231,0.433477,0.256478,0.190699,0.149996,0.272361,0.347188,0.325065,0.167185,0.271189,0,0,0,0,0,0,0,1,0,0,0,0,0
1043,'2020/03/23 13:24:32:546',2,0.578301,-0.371869,0.181801,0.018739,0.478831,0.31859,0.222453,0.189935,0.271611,0.331805,0.315147,0.214647,0.321782,0,0,0,0,0,0,0,1,0,0,0,0,0
