@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
30,'2020/03/24 18:45:39:344',1,0.548371,-0.387797,0.166771,0.048156,0.487446,0.299819,0.212086,0.149984,0.228682,0.336663,0.313404,0.180948,0.356868,1,0,0,0,0,0
31,'2020/03/24 18:45:39:345',1,0.548371,-0.387797,0.166771,0.048156,0.487446,0.299819,0.212086,0.149984,0.228682,0.336663,0.313404,0.180948,0.356868,1,0,0,0,0,0
32,'2020/03/24 18:45:39:356',1,0.60905,-0.379695,0.139092,-0.000644,0.451314,0.316995,0.277755,0.18423,0.250133,0.297209,0.320403,0.170729,0.290956,1,0,0,0,0,0
33,'2020/03/24 18:45:39:367',1,0.624191,-0.370299,0.112582,0.011851,0.432069,0.27372,0.182277,0.161036,0.277548,0.349782,0.333045,0.165829,0.293185,1,0,0,0,0,0
34,'2020/03/24 18:45:39:379',1,0.575908,-0.393196,0.157179,0.029139,0.474224,0.297882,0.224241,0.170946,0.25749,0.327128,0.300073,0.202897,0.298422,1,0,0,0,0,0
35,'2020/03/24 18:45:39:391',1,0.580728,-0.365279,0.184581,-0.001059,0.459217,0.3307,0.234938,0.174181,0.277628,0.354195,0.340127,0.177771,0.284631,1,0,0,0,0,0
36,'2020/03/24 18:45:39:402',1,0.520418,-0.412496,0.104686,0.023689,0.478911,0.272258,0.17137,0.105461,0.193714,0.271925,0.275316,0.122788,0.253183,1,0,0,0,0,0
37,'2020/03/24 18:45:39:414',1,0.607646,-0.354116,0.122727,-0.0007,0.426741,0.272103,0.174956,0.126945,0.170764,0.238017,0.251375,0.145031,0.251214,1,0,0,0,0,0
38,'2020/03/24 18:45:39:414',1,0.607646,-0.354116,0.122727,-0.0007,0.426741,0.272103,0.174956,0.126945,0.170764,0.238017,0.251375,0.145031,0.251214,1,0,0,0,0,0
39,'2020/03/24 18:45:39:435',1,0.567543,-0.39203,0.142485,-0.003835,0.456418,0.269867,0.214732,0.142471,0.208481,0.291624,0.295116,0.163491,0.317715,1,0,0,0,0,0
40,'2020/03/24 18:45:39:436',1,0.567543,-0.39203,0.142485,-0.003835,0.456418,0.269867,0.214732,0.142471,0.208481,0.291624,0.295116,0.163491,0.317715,1,0,0,0,0,0
41,'2020/03/24 18:45:39:448',1,0.518985,-0.377277,0.174971,0.057269,0.479533,0.273587,0.218321,0.171623,0.231499,0.331803,0.291844,0.144388,0.334226,1,0,0,0,0,0
42,'2020/03/24 18:45:39:461',1,0.59778,-0.372565,0.166604,0.004367,0.461806,0.333885,0.278376,0.176274,0.245439,0.312584,0.331471,0.197551,0.324138,1,0,0,0,0,0
