@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
30,'2020/03/23 13:16:07:790',1,0.521867,-0.381439,0.180754,0.044702,0.440958,0.253552,0.230516,0.168425,0.208435,0.310632,0.28937,0.135617,0.297424,1,0,0,0,0,0
31,'2020/03/23 13:16:07:802',1,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0.144721,0.229487,0.336015,0.32327,0.195356,0.356453,1,0,0,0,0,0
32,'2020/03/23 13:16:07:814',1,0.611072,-0.389001,0.119115,-0.001773,0.44605,0.30743,0.263082,0.185604,0.260088,0.30184,0.315564,0.160595,0.281343,1,0,0,0,0,0
33,'2020/03/23 13:16:07:827',1,0.610146,-0.373412,0.120673,0.019529,0.43251,0.264002,0.181823,0.1538,0.275457,0.351694,0.332389,0.16448,0.279592,1,0,0,0,0,0
34,'2020/03/23 13:16:07:837',1,0.572866,-0.385763,0.168716,0.026744,0.481579,0.310256,0.22389,0.178583,0.261431,0.329135,0.307067,0.214369,0.314128,1,0,0,0,0,0
35,'2020/03/23 13:16:07:848',1,0.557612,-0.387669,0.167022,-0.00302,0.466299,0.32692,0.229901,0.162721,0.274332,0.361609,0.347053,0.174016,0.278971,1,0,0,0,0,0
36,'2020/03/23 13:16:07:860',1,0.525025,-0.407053,0.089179,0.018577,0.459938,0.255788,0.163875,0.102338,0.185491,0.259533,0.264929,0.122935,0.25845,1,0,0,0,0,0
37,'2020/03/23 13:16:07:861',1,0.525025,-0.407053,0.089179,0.018577,0.459938,0.255788,0.163875,0.102338,0.185491,0.259533,0.264929,0.122935,0.25845,1,0,0,0,0,0
38,'2020/03/23 13:16:07:873',1,0.591933,-0.372855,0.131057,-0.003296,0.445583,0.291475,0.195889,0.146419,0.189105,0.250293,0.25849,0.143742,0.260736,1,0,0,0,0,0
39,'2020/03/23 13:16:07:883',1,0.562871,-0.395215,0.141615,-0.006917,0.457,0.265806,0.212447,0.134881,0.204774,0.289495,0.300456,0.165385,0.320049,1,0,0,0,0,0
40,'2020/03/23 13:16:07:895',1,0.541105,-0.3992,0.165975,0.032638,0.438833,0.253748,0.215161,0.137494,0.199348,0.29601,0.291893,0.13434,0.270001,1,0,0,0,0,0
41,'2020/03/23 13:16:07:906',1,0.530626,-0.383951,0.169449,0.054736,0.48774,0.288674,0.214055,0.160868,0.231498,0.33492,0.300893,0.161457,0.346846,1,0,0,0,0,0
42,'2020/03/23 13:16:07:918',1,0.601232,-0.374865,0.15533,0.000554,0.456068,0.327724,0.285053,0.18257,0.245106,0.300807,0.326618,0.184868,0.306876,1,0,0,0,0,0
43,'2020/03/23 13:16:07:930',1,0.631037,-0.371453,0.105285,0.005133,0.433924,0.28362,0.189442,0.168782,0.280257,0.345194,0.330278,0.168643,0.304653,1,0,0,0,0,0
44,'2020/03/23 13:16:07:930',1,0.631037,-0.371453,0.105285,0.005133,0.433924,0.28362,0.189442,0.168782,0.280257,0.345194,0.330278,0.168643,0.304653,1,0,0,0,0,0
45,'2020/03/23 13:16:07:942',1,0.575046,-0.399489,0.145277,0.029846,0.463445,0.282873,0.219899,0.161553,0.25551,0.326265,0.298639,0.190502,0.284719,1,0,0,0,0,0
46,'2020/03/23 13:16:07:953',1,0.589001,-0.356839,0.192586,0.001891,0.455914,0.329423,0.23469,0.186955,0.281976,0.349027,0.33582,0.186292,0.294928,1,0,0,0,0,0
47,'2020/03/23 13:16:07:965',1,0.521672,-0.414869,0.118472,0.025059,0.491899,0.289498,0.183926,0.114097,0.207079,0.287334,0.285136,0.123704,0.247525,1,0,0,0,0,0
48,'2020/03/23 13:16:07:978',1,0.594362,-0.351414,0.104322,0.00485,0.410985,0.251806,0.168522,0.112127,0.17675,0.243878,0.254833,0.148301,0.259964,1,0,0,0,0,0
49,'2020/03/23 13:16:07:988',1,0.567013,-0.393935,0.139164,-0.003048,0.454289,0.273015,0.215235,0.148143,0.213481,0.295002,0.291631,0.161649,0.313165,1,0,0,0,0,0
50,'2020/03/23 13:16:08:000',1,0.553283,-0.408643,0.155497,0.021657,0.455309,0.261886,0.207056,0.115444,0.189708,0.286124,0.306011,0.145496,0.26911,1,0,0,0,0,0
51,'2020/03/23 13:16:08:000',1,0.553283,-0.408643,0.155497,0.021657,0.455309,0.261886,0.207056,0.115444,0.189708,0.286124,0.306011,0.145496,0.26911,1,0,0,0,0,0
52,'2020/03/23 13:16:08:012',1,0.51347,-0.374707,0.178611,0.055162,0.467718,0.263517,0.224805,0.177533,0.225516,0.325865,0.288305,0.136173,0.323576,1,0,0,0,0,0
