@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
6194,'2020/03/23 13:42:19:737',6,0.590453,-0.355762,0.193945,0.003237,0.455901,0.328028,0.232934,0.190124,0.282226,0.346494,0.333828,0.189461,0.298927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6195,'2020/03/23 13:42:19:737',6,0.590453,-0.355762,0.193945,0.003237,0.455901,0.328028,0.232934,0.190124,0.282226,0.346494,0.333828,0.189461,0.298927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6196,'2020/03/23 13:42:19:748',6,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0.11912,0.213648,0.294634,0.290048,0.125673,0.247175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6197,'2020/03/23 13:42:19:760',6,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0.10918,0.179981,0.24563,0.256593,0.150005,0.264944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6198,'2020/03/23 13:42:19:772',6,0.565772,-0.395141,0.137651,-0.003122,0.454039,0.275022,0.216505,0.151269,0.216771,0.297091,0.291474,0.161655,0.311471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6199,'2020/03/23 13:42:19:783',6,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0.113544,0.188207,0.285026,0.307969,0.147552,0.271915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6200,'2020/03/23 13:42:19:795',6,0.5132,-0.374092,0.180144,0.054542,0.463982,0.261515,0.226939,0.178283,0.222834,0.323525,0.287845,0.135081,0.32051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6201,'2020/03/23 13:42:19:806',6,0.599597,-0.371513,0.172614,0.013598,0.469443,0.329973,0.250799,0.157145,0.239628,0.324246,0.329043,0.201999,0.340197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6202,'2020/03/23 13:42:19:806',6,0.599597,-0.371513,0.172614,0.013598,0.469443,0.329973,0.250799,0.157145,0.239628,0.324246,0.329043,0.201999,0.340197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6203,'2020/03/23 13:42:19:818',6,0.622138,-0.385776,0.101402,-0.003045,0.438238,0.296327,0.225873,0.181983,0.279131,0.326786,0.3197,0.165182,0.295083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6204,'2020/03/23 13:42:19:830',6,0.571089,-0.398479,0.125673,0.024555,0.436688,0.25695,0.197033,0.14937,0.267954,0.341275,0.318487,0.17032,0.270853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6205,'2020/03/23 13:42:19:842',6,0.583064,-0.365895,0.18631,0.013515,0.472414,0.320067,0.221968,0.193272,0.275487,0.333921,0.320258,0.210845,0.320085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6206,'2020/03/23 13:42:19:853',6,0.53576,-0.409652,0.146062,0.015788,0.494782,0.321183,0.219495,0.146502,0.251459,0.339677,0.325274,0.148794,0.259043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6207,'2020/03/23 13:42:19:865',6,0.541592,-0.393279,0.068897,0.00811,0.421067,0.238038,0.161932,0.104132,0.185105,0.250619,0.259786,0.141641,0.275318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6208,'2020/03/23 13:42:19:876',6,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6209,'2020/03/23 13:42:19:876',6,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6210,'2020/03/23 13:42:19:888',6,0.543533,-0.415898,0.134822,-0.007086,0.45533,0.260562,0.207206,0.119325,0.196058,0.289953,0.316185,0.166294,0.30955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6211,'2020/03/23 13:42:19:899',6,0.521867,-0.381439,0.180754,0.044702,0.440958,0.253552,0.230516,0.168425,0.208435,0.310632,0.28937,0.135617,0.297424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6212,'2020/03/23 13:42:19:912',6,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0.144721,0.229487,0.336015,0.32327,0.195356,0.356453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6213,'2020/03/23 13:42:19:923',6,0.611072,-0.389001,0.119115,-0.001773,0.44605,0.30743,0.263082,0.185604,0.260088,0.30184,0.315564,0.160595,0.281343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6214,'2020/03/23 13:42:19:934',6,0.610146,-0.373412,0.120673,0.019529,0.43251,0.264002,0.181823,0.1538,0.275457,0.351694,0.332389,0.16448,0.279592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6215,'2020/03/23 13:42:19:946',6,0.572866,-0.385763,0.168716,0.026744,0.481579,0.310256,0.22389,0.178583,0.261431,0.329135,0.307067,0.214369,0.314128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6216,'2020/03/23 13:42:19:946',6,0.572866,-0.385763,0.168716,0.026744,0.481579,0.310256,0.22389,0.178583,0.261431,0.329135,0.307067,0.214369,0.314128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6217,'2020/03/23 13:42:19:957',6,0.557612,-0.387669,0.167022,-0.00302,0.466299,0.32692,0.229901,0.162721,0.274332,0.361609,0.347053,0.174016,0.278971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6218,'2020/03/23 13:42:19:969',6,0.525025,-0.407053,0.089179,0.018577,0.459938,0.255788,0.163875,0.102338,0.185491,0.259533,0.264929,0.122935,0.25845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6219,'2020/03/23 13:42:19:981',6,0.591933,-0.372855,0.131057,-0.003296,0.445583,0.291475,0.195889,0.146419,0.189105,0.250293,0.25849,0.143742,0.260736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6220,'2020/03/23 13:42:19:993',6,0.562871,-0.395215,0.141615,-0.006917,0.457,0.265806,0.212447,0.134881,0.204774,0.289495,0.300456,0.165385,0.320049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6221,'2020/03/23 13:42:20:004',6,0.541105,-0.3992,0.165975,0.032638,0.438833,0.253748,0.215161,0.137494,0.199348,0.29601,0.291893,0.13434,0.270001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
